csv_username,csv_password,expectedStatus,scenario,shouldHaveToken
emilys,emilyspass,200,valid-primary,TRUE
michaelw,michaelwpass,200,valid-secondary,TRUE
sophiab,sophiabpass,200,valid-tertiary,TRUE
emilys,WRONGPASSWORD,400,wrong-password,FALSE
NOSUCHUSER,anypassword,400,nonexistent-user,FALSE
emilys,,400,empty-password,FALSE
,emilyspass,400,empty-username,FALSE
admin,admin,400,common-weak-creds,FALSE
emilys,emilyspass,200,duplicate-valid-1,TRUE
emilys,emilyspass,200,duplicate-valid-2,TRUE
12345,12345,400,numeric-creds,FALSE
emilys@x.dummyjson.com,emilyspass,400,email-as-username,FALSE
